亞的斯亞貝巴	ya|di|si|ya|bei|ba
薄透镜	bao|tou|jing
薄雾	bo|wu
薄型	bao|xing
薄幸	bo|xing
薄衣	bo|yi
薄云	bo|yun
薄栅氧化层	bo|shan|yang|hua|ceng
薄纸	bao|zhi
薄子	bao|zi
薄伽丘	bo|jia|qiu
薄伽梵	bo|jia|fan
薄祚寒门	bo|zuo|han|men
保长	bao|zhang
保持地	bao|chi|de
保持了一	bao|chi|liao|yi
保存了的	bao|cun|liao|de
保兑银行	bao|dui|yin|hang
保付商行	bao|fu|shang|hang
保付银行	bao|fu|yin|hang
保管银行	bao|guan|yin|hang
保了密	bao|liao|mi
保留地	bao|liu|de
保守地	bao|shou|de
保守地说	bao|shou|de|shuo
保守重组	bao|shou|chong|zu
保险标的	bao|xian|biao|di
保险弹簧	bao|xian|tan|huang
保险垫圈	bao|xian|dian|juan
保险会计	bao|xian|kuai|ji
保障供给	bao|zhang|gong|ji
保证偿还	bao|zheng|chang|huan
保证地	bao|zheng|de
保证供给	bao|zheng|gong|ji
堡口	bu|kou
堡子	bu|zi
宝藏	bao|zang
宝藏丰富	bao|zang|feng|fu
宝坻	bao|di
宝坻县	bao|di|xian
抱蔓摘瓜	bao|wan|zhai|gua
抱歉地	bao|qian|de
抱怨地	bao|yuan|de
抱怨地说	bao|yuan|de|shuo
抱着提防	bao|zhe|di|fang
报仇地	bao|chou|de
报复性地	bao|fu|xing|de
报关行	bao|guan|hang
报还	bao|huan
报社长	bao|she|zhang
暴动地	bao|dong|de
暴风地	bao|feng|de
暴虎冯河	bao|hu|ping|he
暴虎馮河	bao|hu|ping|he
暴烈地	bao|lie|de
暴露出	bao|lu|chu
暴乱地	bao|luan|de
暴虐地	bao|nue|de
暴腮龙门	pu|sai|long|men
暴鳃龙门	pu|sai|long|men
暴徒似的	bao|tu|shi|de
暴躁地	bao|zao|de
暴戾地	bao|li|de
爆发地	bao|fa|de
爆裂似的	bao|lie|shi|de
爆破了的	bao|po|liao|de
爆炸地	bao|zha|de
杯盘狼藉	bei|pan|lang|ji
碑拓	bei|ta
悲哀地	bei|ai|de
悲哀哽咽	bei|ai|geng|ye
悲惨地	bei|can|de
悲观地	bei|guan|de
悲剧地	bei|ju|de
悲剧性地	bei|ju|xing|de
悲剧重演	bei|ju|chong|yan
悲伤地	bei|shang|de
悲痛地	bei|tong|de
悲咽	bei|ye
卑鄙地	bei|bi|de
卑贱地	bei|jian|de
卑劣地	bei|lie|de
卑陋地	bei|lou|de
北京分行	bei|jing|fen|hang
北门管钥	bei|men|guan|yue
北门锁钥	bei|men|suo|yue
北埔	bei|bu
北埔乡	bei|bu|xiang
北埔鄉	bei|bu|xiang
北沙参	bei|sha|shen
辈行	bei|hang
背部地	bei|bu|de
背地地	bei|di|de
背景校正	bei|jing|jiao|zheng
背景音乐	bei|jing|yin|yue
背叛地	bei|pan|de
背心似的	bei|xin|shi|de
背信地	bei|xin|de
背著手	bei|zhe|shou
背着手	bei|zhe|shou
贝贾亚	bei|jia|ya
贝扎人	bei|za|ren
倍还要	bei|huan|yao
倍增长	bei|zeng|zhang
备用钥匙	bei|yong|yao|shi
焙乾	bei|gan
被成为	pi|cheng|wei
被调整的	bei|tiao|zheng|de
被动地	bei|dong|de
被发	pi|fa
被发入山	pi|fa|ru|shan
被发射	bei|fa|she
被发徒跣	pi|fa|tu|xian
被发文身	pi|fa|wen|shen
被发现	bei|fa|xian
被发详狂	pi|fa|xiang|kuang
被发佯狂	pi|fa|yang|kuang
被发阳狂	pi|fa|yang|kuang
被发缨冠	pi|fa|ying|guan
被发左衽	pi|fa|zuo|ren
被发拊膺	pi|fa|fu|ying
被发跣足	pi|fa|xian|zu
被俘了	bei|fu|liao
被覆粘膜	bei|fu|nian|mo
被害了	bei|hai|liao
被褐藏辉	pi|he|cang|hui
被褐怀宝	pi|he|huai|bao
被褐怀玉	pi|he|huai|yu
被褐怀珠	pi|he|huai|zhu
被击中的	bei|ji|zhong|de
被甲持兵	pi|jia|chi|bing
被甲据鞍	pi|jia|ju|an
被甲载兵	pi|jia|zai|bing
被甲枕戈	pi|jia|zhen|ge
被甲执兵	pi|jia|zhi|bing
被甲执锐	pi|jia|zhi|rui
被坚执锐	pi|jian|zhi|rui
